
Стойностите са ОСРЕДНЕНИ и ПРИБЛИЗИТЕЛНИ. Съдържанието на фибри, както и на другите макронутриенти, може да варира значително. Например, фибрите в пълнозърнестия хляб зависят от типа и количеството на пълнозърнестото брашно; фибрите в плодовете и зеленчуците зависят от това дали се консумират с кората. Този списък е предназначен за професионална справка, но за клинични цели винаги се препоръчва използването на специализирани софтуерни бази данни.

Изчерпателен диетологичен справочник на храните с хранителни стойности (за 100 г)
Храна / Продукт	Калории (kcal)	Белтъчини (г)	Въглехидрати (г)	Фибри (г)	Мазнини (г)
I. ЗЕЛЕНЧУЦИ (сурови)					
Краставица	15	0.7	3.6	0.5	0.1
Тиквичка	17	1.2	3.1	1.0	0.3
Домат	18	0.9	3.9	1.2	0.2
Чушка / Пипер (червен, зелен)	25	1.0	6.0	2.1	0.2
Маруля / Айсберг	14	0.9	2.9	1.2	0.1
Спанак / Рукола / Листни (микс)	23	2.9	3.6	2.2	0.4
Зеле (бяло)	25	1.3	5.8	2.5	0.1
Лук (кромид)	40	1.1	9.3	1.7	0.1
Праз лук	61	1.5	14.2	1.8	0.3
Чесън	149	6.4	33.1	2.1	0.5
Морков	41	0.9	9.6	2.8	0.2
Червено цвекло	43	1.6	9.6	2.8	0.2
Картоф	77	2.0	17.5	2.2	0.1
Сладък картоф (батат)	86	1.6	20.1	3.0	0.1
Броколи	34	2.8	6.6	2.6	0.4
Карфиол	25	1.9	5.0	2.0	0.3
Патладжан	25	1.0	5.9	3.0	0.2
Гъби (Печурки)	22	3.1	3.3	1.0	0.3
Зелен фасул	31	1.8	7.0	2.7	0.2
II. ПЛОДОВЕ (сурови)					
Ябълка	52	0.3	13.8	2.4	0.2
Круша	57	0.4	15.2	3.1	0.1
Праскова / Нектарина	42	0.9	10.5	1.5	0.2
Кайсия	48	1.4	11.1	2.0	0.4
Слива	46	0.7	11.4	1.4	0.3
Череши	63	1.1	16.0	2.1	0.2
Ягоди	32	0.7	7.7	2.0	0.3
Малини / Къпини	50	1.3	11.5	6.5	0.6
